0000;(no translation needed)
0001;Pon Drum
0002;Pata Drum
0003;Chaka Drum
0004;Don Drum
0005;Rain Miracle
0006;Tailwind Miracle
0007;Storm Miracle
0008;Earthquake Miracle
0009;The Miracle of the Blizzard
000A;Brimstone Juju
000B;Duck n' Cover Juju
000C;
000D;Blank Map
000E;Bent Compass
000F;Cloudy Crystal
0010;Broken Sign
0011;Black Star
0012;Mud-stained Map
0013;Soft Lithograph
0014;Unopenable Box
0015;Sealed Scroll
0016;
0017;Square Wheel
0018;
0019;Grey Rainbow
001A;
001B;Mater Sprout
001C;Patapata Song
001D;Ponpon Song
001E;Chakachaka Song
001F;Ponpata Song
0020;Ponchaka Song
0021;DON DON Song
0022;DON CHAKA Song
0023;Yaripon's Memory
0024;Tatepon's Memory
0025;Yumipon's Memory
0026;Kibapon's Memory
0027;Dekapon's Memory
0028;Megapon's Memory
0029;Toripon's Memory
002A;Robopon's Memory
002B;Mahopon's Memory
002C;Cap
002D;Pakapon Cap
002E;Kimpon Cap
002F;Zakpon Cap
0030;Kampon Cap
0031;Gashapon Cap
0032;Yapon Cap
0033;Tsukupon Cap
0034;Ka-ching
0035;Potion
0036;Leather Meat
0037;Tender Meat
0038;Dream Meat
0039;Mystery Meat
003A;Demon Steak
003B;Berara Hide
003C;Gotsutsu Hide
003D;Subebe Hide
003E;Mezura Hide
003F;Demon Hide
0040;Kuneri Fang
0041;Itete Fang
0042;Gizaza Fang
0043;Nazozo Fang
0044;Demon Fang
0045;Mudada Bone
0046;Gashirin Bone
0047;Dodeka Bone
0048;Ottama Bone
0049;Demon Bone
004A;Stone
004B;Hard Iron
004C;Titanium Ore
004D;Mytheerial
004E;Adamanman
004F;Leaf
0050;Banal Branch
0051;Cherry Tree
0052;Hinoki
0053;Super Cedar
0054;Bowtie Tree
0055;Eyeball Cabbage
0056;Crying Carrot
0057;Predator Pumpkin
0058;Hazy Shroom
0059;Guddorian
005A;Kasu Seed
005B;Yoka Seed
005C;Deka Seed
005D;Bibi Seed
005E;Mater Sprout
005F;Sloppy Alloy
0060;Hard Alloy
0061;Awesome Alloy
0062;Magic Alloy
0063;Demon's Ore
0064;Familiar Liquid
0065;Hot Liquid
0066;Cold Liquid
0067;Rainbow Liquid
0068;Demon Liquid
0069;Gnarly Stew
006A;Tasty Stew
006B;King's Stew
006C;Divine Stew
006D;Demon Stew
006E;Wooden Spear
006F;Iron Spear
0070;Steel Spear
0071;Scorching Spear
0072;Dokaknel's Fang
0073;Ancient Spear
0074;"Giant Spear ""Bullet"""
0075;Divine Spear<N0>
0076;Spear of Protection
0077;Ice Spear
0078;Dream Spear
0079;Thunder Spear
007A;Great Fire Spear
007B;Great Ice Spear
007C;Great Thunder Spear
007D;Heaven Spear
007E;Magic Spear Brugnuk
007F;Friendship Spear
0080;
0081;
0082;Tin Axe
0083;Iron Sword
0084;Steel Axe
0085;Sleep Sword
0086;Flame Sword
0087;Ancient Axe
0088;"Giant Sword ""The Butcher"""
0089;Divine Sword<N0>
008A;Gong's Scythe
008B;Ice Sword
008C;Thunder Sword
008D;Great Fire Axe
008E;Great Ice Axe
008F;Great Thunder Axe
0090;Heaven Sword
0091;Magic Axe Lapris
0092;Friendship Sword
0093;Great God Armour
0094;
0095;Sword of the late Tatepon
0096;Wood Shield
0097;Iron Shield
0098;Steel Shield
0099;Ice Shield
009A;Ultra Heavy Shield
009B;Ancient Shield
009C;"Giant Shield ""Octagon"""
009D;Divine Shield<N0>
009E;Fire Shield
009F;Thunder Shield
00A0;Wing Shield
00A1;Flying Shield
00A2;Sun Shield
00A3;Dragon Shield
00A4;Heaven Shield
00A5;Magic Shield Algos
00A6;Friendship Shield
00A7;
00A8;
00A9;
00AA;Wooden Bow
00AB;Iron Bow
00AC;Steel Bow
00AD;Flame Bow
00AE;Piercing Bow
00AF;Ancient Bow
00B0;"Giant Bow ""Failnaught"""
00B1;Divine Bow<N0>
00B2;Ice Bow
00B3;Dream Bow
00B4;Thunder Bow
00B5;Great Fire Bow
00B6;Great Ice Bow
00B7;Great Thunder Bow
00B8;Heaven Bow
00B9;Magic Bow Flein
00BA;Friendship Bow
00BB;
00BC;
00BD;Bow of the late Yumipon
00BE;Wooden Halberd
00BF;Iron Halberd
00C0;Steel Halberd
00C1;Deflecting Halberd
00C2;Flame Halberd
00C3;Ancient Halberd
00C4;"Giant Halberd ""Grizzly"""
00C5;Divine Halberd<N0>
00C6;Ice Lance
00C7;Dream Lance
00C8;Thunder Lance
00C9;Great Fire Lance
00CA;Great Ice Lance
00CB;Great Thunder Lance
00CC;Heaven Lance
00CD;Magic Lance Gugnir
00CE;Friendship Lance
00CF;
00D0;
00D1;
00D2;Horse
00D3;Fast Horse
00D4;Tough Horse
00D5;Strong Horse
00D6;Crimson Horse
00D7;Ancient Horse
00D8;Deep Impact
00D9;Divine Horse<N0>
00DA;Blue Horse
00DB;Yellow Horse
00DC;Burning Horse
00DD;Lightning Horse
00DE;Ice Horse
00DF;Dragon Horse
00E0;Heaven Horse
00E1;Magic Horse Sleipnir
00E2;Friendship Horse
00E3;
00E4;
00E5;
00E6;Club
00E7;Iron Hammer
00E8;Steel Mace
00E9;Nail Studded Bat
00EA;Dream Weaver
00EB;Ancient Hammer
00EC;"Morning Star ""Giganto"""
00ED;Divine Axe<N0>
00EE;Fire Club
00EF;Ice Club
00F0;Thunder Club
00F1;Great Fire Club
00F2;Great Ice Club
00F3;Great Thunder Club
00F4;Heaven Club
00F5;Magic Club Thor
00F6;Friendship Club
00F7;
00F8;
00F9;
00FA;Leather Shoulder
00FB;Iron Shoulder
00FC;Steel Shoulder
00FD;Wind Shoulder
00FE;Heavy Shoulder
00FF;Drum Shoulder
0100;Great Shoulder Gigas
0101;Divine Shoulder <N0>
0102;Fire Shoulder
0103;Thunder Shoulder
0104;Snow Shoulder
0105;Flying Shoulder
0106;Sun Shoulder
0107;Dragon Shoulder
0108;Heaven Shoulder
0109;Magic Shoulder Chronos
010A;Friendship Shoulder
010B;
010C;
010D;
010E;Wood Horn
010F;Iron Horn
0110;Steel Horn
0111;Dogaeen's Horn
0112;Cioking's Horn
0113;Shookle's Horn
0114;Ancient Horn
0115;Divine Horn<N0>
0116;Fire Flute
0117;Ice Flute
0118;Thunder Flute
0119;Great Fire Flute
011A;Great Ice Flute
011B;Great Thunder Flute
011C;Heaven Flute
011D;Magic Flute Hamlin
011E;Friendship Flute
011F;
0120;
0121;
0122;Cotton Cape
0123;Leather Cape
0124;Silk Cape
0125;Wind Mantle
0126;Cape of Strength
0127;Wing Cape
0128;Drum Mantle
0129;Mighty Pata Mantle <N0>
012A;Fire Mantle
012B;Thunder Mantle
012C;Snow Mantle
012D;Flying Mantle
012E;Sun Mantle
012F;Dragon Mantle
0130;Heaven Mantle
0131;Magic Clothes Vamp
0132;Friendship Mantle
0133;
0134;
0135;
0136;Wood Javelin
0137;Iron Javelin
0138;Steel Javelin
0139;Fire Javelin
013A;Piercing Javelin
013B;Drum Javelin
013C;Giant Javelin
013D;Mighty Pata Javelin <N0>
013E;Ice Javelin
013F;Dream Javelin
0140;Thunder Javelin
0141;Great Fire Javelin
0142;Great Ice Javelin
0143;Great Thunder Javelin
0144;Heaven Javelin
0145;Magic Javelin Gaebolg
0146;Friendship Javelin
0147;
0148;
0149;
014A;Bird
014B;Fast Bird
014C;Tough Bird
014D;Strong Bird
014E;Red Bird
014F;Drum Bird
0150;Garuda
0151;Mighty Pata Bird <N0>
0152;Blue Bird
0153;Yellow Bird
0154;Flame Bird
0155;Thunderbird
0156;Ice Bird
0157;Dragon Bird
0158;Heaven Bird
0159;Magic Bird Onmoraki
015A;Friendship Bird
015B;
015C;
015D;
015E;Brick Arm
015F;Iron Arm
0160;Steel Arm
0161;Burst Arm
0162;Fire Arm
0163;Drum Arm
0164;Great Golem Arm
0165;Divine Fist <N0>
0166;Ice Arm
0167;Dream Arm
0168;Thunder Arm
0169;Great Fire Arm
016A;Great Ice Arm
016B;Great Thunder Arm
016C;Heaven Arm
016D;Magic Arm Quill
016E;Friendship Arm
016F;
0170;
0171;
0172;(no translation needed)
0173;(no translation needed)
0174;(no translation needed)
0175;(no translation needed)
0176;(no translation needed)
0177;(no translation needed)
0178;(no translation needed)
0179;(no translation needed)
017A;(no translation needed)
017B;(no translation needed)
017C;(no translation needed)
017D;(no translation needed)
017E;(no translation needed)
017F;(no translation needed)
0180;(no translation needed)
0181;(no translation needed)
0182;(no translation needed)
0183;(no translation needed)
0184;(no translation needed)
0185;(no translation needed)
0186;Wood Staff
0187;Iron Staff
0188;Silver Staff
0189;Defense Staff
018A;Fire Staff
018B;Soothing Staff
018C;Drum Staff
018D;Mighty Pata Staff <N0>
018E;Ice Staff
018F;Healing Staff
0190;Thunder Staff
0191;Great Fire Staff
0192;Great Ice Staff
0193;Great Thunder Staff
0194;Heaven Staff
0195;Magic Staff Rune
0196;Friendship Staff
0197;
0198;
0199;
019A;Wood Shoes
019B;Leather Sandals
019C;Glass Shoes
019D;Wind Shoes
019E;Boots of Strength
019F;Wing Boots
01A0;Drum Shoes
01A1;Mighty Pata Shoes <N0>
01A2;Fire Shoes
01A3;Thunder Shoes
01A4;Snow Shoes
